Unnamed: 0,name,group_gnd,orig_folder,status,split,group_pred,sarcomere_length_mean,sarcomere_length_std,sarcomere_area_ratio,z_length_mean,n_zbands,cell_mask_area
0,114124_3602_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,0.0,1.2946798104667818,0.248240522819538,0.0737210196990962,0.45,7.0,255.6225
1,114124_3661_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,0.0,,,0.0015738756580432,,0.0,682.0425
2,040325_4534_w2FITC-C_2,0.0,05_FN_Cilen100,labeled,test,0.0,1.4806471510355643,0.2877806065183514,0.0460918138781819,0.5742857142857142,35.0,1735.515
3,110624_3355_w2FITC-C_1,0.0,old_data,labeled,train,0.0,1.5971822872274584,0.2242220971516182,0.0672765742609688,0.6456521739130434,23.0,655.7624999999999
4,040925_4637_w2FITC-C,0.0,02_VN,labeled,train,0.0,1.336538823599431,0.1624602393164632,0.0174681806282454,0.5142857142857143,7.0,804.8025
5,114124_3583_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,2.0,1.4133702530119447,0.264510527188312,0.3227541065805085,1.832142857142857,140.0,1352.745
6,040325_4542_w2FITC-C,1.0,05_FN_Cilen100,labeled,test,1.0,1.4787528647986907,0.2295967621718374,0.0914536124441503,0.925531914893617,47.0,1452.4199999999998
7,110624_3328_w2FITC-C_2,2.0,old_data,labeled,train,1.0,1.4618250563986843,0.2577900411953241,0.1742236174180627,1.201973684210526,76.0,1152.1575
8,111124_3495_w2FITC-C_2,,old_data_unlabeled,unlabeled,train,1.0,1.5882299742138943,0.2835574019428182,0.0877612638888485,0.7277777777777777,27.0,484.335
9,040925_4658_w2FITC-C,1.0,02_VN,labeled,train,1.0,1.536836616009335,0.2513562066031586,0.1986817855028357,1.607142857142857,35.0,540.09
10,110624_3284_w2FITC-C_2,0.0,old_data,labeled,train,1.0,1.8271136978891624,0.4802435542400941,0.0196475445540221,0.975,2.0,367.0875
11,040425_4549_w2FITC-C,2.0,05_FN_Cilen100,labeled,test,1.0,1.541680158311357,0.2425500637756046,0.1514022776053036,0.979787234042553,94.0,1604.4075
12,111124_3549_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,0.0,1.5344540584823696,0.2338862376422839,0.0445964650615774,0.8727272727272726,11.0,522.18
13,040225_4390_w2FITC-C_2,0.0,01_FN,labeled,train,0.0,1.416779161199867,0.0479340366395611,0.0114484041542208,0.5249999999999999,4.0,584.055
14,110624_3343_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,0.0,1.451101983227549,0.1829784344489698,0.0210294597819027,0.36,5.0,489.5775
15,013125_3835_w2FITC-C_1,0.0,02_VN,labeled,train,0.0,1.3676055453160307,0.1328256712162767,0.0125742706253551,0.7499999999999999,3.0,655.4925
16,040225_4395_w2FITC-C,0.0,01_FN,labeled,train,0.0,1.2847521019291892,0.1050312431906393,0.0233664617740445,0.6,4.0,266.8725
17,114124_3641_w2FITC-C_1,0.0,old_data,labeled,train,0.0,1.448331192111849,0.0862985620627232,0.0124236413003171,0.3,1.0,348.2775
18,110624_3303_w2FITC-C_2,,old_data_unlabeled,unlabeled,train,0.0,,,0.003664171063329,0.6,1.0,943.11
19,110624_3286_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,1.0,1.405440036413238,0.2513569272724096,0.0797743566363252,0.5490566037735849,53.0,1414.7324999999998
20,012925_3820_w2FITC-C,1.0,02_VN,labeled,train,1.0,1.4635975566018755,0.2083880753539174,0.1917760983311651,1.122413793103448,29.0,453.645
21,041225_4842_w2FITC-C,1.0,04_VN_P5D2,labeled,test,1.0,1.5821147782513514,0.1546122980461902,0.1020062698931918,0.985,30.0,807.4125
22,040225_4408_w2FITC-C,2.0,01_FN,labeled,train,2.0,1.339218796396932,0.2859079344450096,0.2832844491983416,1.1150943396226414,106.0,1057.0275
23,111124_3521_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,0.0,1.3268841165016243,0.2293133001226821,0.0180911138403652,0.5499999999999999,6.0,797.3325
24,110624_3314_w2FITC-C_2,,old_data_unlabeled,unlabeled,train,0.0,1.383654302041276,0.3718608533590917,0.0465461850801966,0.5666666666666668,18.0,867.375
25,111124_3566_w2FITC-C_1,2.0,old_data,labeled,train,2.0,1.4089840735681547,0.2245406758364827,0.3873377476536749,1.7131578947368422,209.0,1770.255
26,040325_4519_w2FITC-C,0.0,05_FN_Cilen100,labeled,test,0.0,1.3953089619797754,0.3149096580435455,0.009507839556387,0.557142857142857,7.0,958.7025
27,012725_3764_w2FITC-C_1,1.0,01_FN,labeled,train,1.0,1.608258810689872,0.3052303502315502,0.1419421267709078,0.7289062499999999,64.0,1111.365
28,110724_3405_w2FITC-C_1,1.0,old_data,labeled,train,1.0,1.399590637664712,0.322902255816974,0.0860525535731218,0.6947368421052632,19.0,633.5775
29,110724_3384_w2FITC-C_2,,old_data_unlabeled,unlabeled,train,1.0,1.513813346031884,0.1842430437108902,0.1228053512913825,0.8261538461538462,65.0,1181.0925
30,041125_4768_w2FITC-C_1,0.0,06_VN_Cilen100,labeled,test,0.0,,,0.0012636602771732,,0.0,362.835
31,110724_3464_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,1.0,1.3939842197103516,0.2962482894885215,0.0899415693165343,0.7693548387096774,31.0,622.0799999999999
32,111124_3563_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,1.0,1.5477244791011011,0.2452448033364087,0.1442626776708329,0.7961538461538461,52.0,913.365
33,040925_4665_w2FITC-C,0.0,02_VN,labeled,train,0.0,1.20269438386452,0.0916749332155677,0.0095308509624045,0.6,1.0,442.9125
34,110724_3421_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,2.0,1.592466519308702,0.2296701739517229,0.3774785356419766,1.375,180.0,1569.7125
35,111124_3519_w2FITC-C_2,,old_data_unlabeled,unlabeled,train,0.0,1.395121232714684,0.4622369396552325,0.0107097019705693,0.35,3.0,603.495
36,041125_4780_w2FITC-C,1.0,06_VN_Cilen100,labeled,test,1.0,1.495093790213212,0.2398298849919212,0.1496512129695192,1.063953488372093,86.0,1559.025
37,114124_3656_w2FITC-C_2,1.0,old_data,labeled,train,1.0,1.3459538588142403,0.3118147323379343,0.0522811188479775,1.075,24.0,775.8675
38,012725_3762_w2FITC-C,1.0,01_FN,labeled,train,0.0,1.5124376496686802,0.2781716275951376,0.0326648117149208,0.4666666666666667,9.0,859.2075
39,110724_3422_w2FITC-C_1,2.0,old_data,labeled,train,2.0,1.486060028944897,0.2089758269018911,0.2429078262817403,1.2111801242236024,161.0,2032.8075
40,040425_4587_w2FITC-C,2.0,03_FN_P5D2,labeled,test,2.0,1.533579004045419,0.2303766647951401,0.3371210151887434,1.1110047846889952,209.0,1949.7375
41,114124_3625_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,0.0,1.3560969236914835,0.3261853053930857,0.0279375663084858,0.4421052631578948,19.0,1084.2525
42,040425_4570_w2FITC-C,0.0,03_FN_P5D2,labeled,test,0.0,1.685135135248964,0.2538509594685351,0.0402636929114602,0.6124999999999999,12.0,518.625
43,111124_3544_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,0.0,1.3105396566260796,0.2596281342644951,0.0254044024614176,0.75,12.0,1061.235
44,110724_3372_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,0.0,1.7564871825891255,0.0041422119576519,0.0070770163391172,0.4499999999999999,2.0,414.0675
45,041225_4828_w2FITC-C_2,0.0,04_VN_P5D2,labeled,test,0.0,,,0.0020761069816935,,0.0,251.955
46,041125_4792_w2FITC-C,0.0,06_VN_Cilen100,labeled,test,0.0,1.7394589563833325,0.3331815196368046,0.0124803062260031,0.3375,4.0,624.7574999999999
47,110624_3323_w2FITC-C_1,0.0,old_data,labeled,train,0.0,2.285742277403864,0.0,0.0044693393716337,0.3,1.0,405.1575
48,041225_4840_w2FITC-C_1,2.0,04_VN_P5D2,labeled,test,2.0,1.4852744556394544,0.1947914865926504,0.4209142813278225,1.6947643979057587,191.0,1520.8875
49,110624_3320_w2FITC-C_2,0.0,old_data,labeled,train,0.0,1.647417403695381,0.0,0.0048682921427639,,0.0,532.9575
50,040925_4666_w2FITC-C_1,0.0,02_VN,labeled,train,0.0,1.449095095685205,0.3642777418712396,0.0689770590504515,0.67,30.0,747.6975
51,040925_4652_w2FITC-C_2,0.0,02_VN,labeled,train,0.0,2.969742934979184,0.0,0.006200775469058,,0.0,549.4275
52,114124_3604_w2FITC-C_3,,old_data_unlabeled,unlabeled,train,0.0,1.5376881962082047,0.4676209413090514,0.0248480532581089,0.4499999999999999,1.0,382.2975
53,110724_3434_w2FITC-C_1,,old_data_unlabeled,unlabeled,train,1.0,1.491030082377475,0.3599063497881843,0.1235692317310979,0.9827586206896552,58.0,985.5225
