Unnamed: 0,name,group_gnd,orig_folder,status,split
0,114124_3602_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
1,114124_3661_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
2,040325_4534_w2FITC-C_2,0.0,05_FN_Cilen100,labeled,test
3,110624_3355_w2FITC-C_1,0.0,old_data,labeled,train
4,040925_4637_w2FITC-C,0.0,02_VN,labeled,train
5,114124_3583_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
6,040325_4542_w2FITC-C,1.0,05_FN_Cilen100,labeled,test
7,110624_3328_w2FITC-C_2,2.0,old_data,labeled,train
8,111124_3495_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
9,040925_4658_w2FITC-C,1.0,02_VN,labeled,train
10,110624_3284_w2FITC-C_2,0.0,old_data,labeled,train
11,040425_4549_w2FITC-C,2.0,05_FN_Cilen100,labeled,test
12,111124_3549_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
13,040225_4390_w2FITC-C_2,0.0,01_FN,labeled,train
14,110624_3343_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
15,013125_3835_w2FITC-C_1,0.0,02_VN,labeled,train
16,040225_4395_w2FITC-C,0.0,01_FN,labeled,train
17,114124_3641_w2FITC-C_1,0.0,old_data,labeled,train
18,110624_3303_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
19,110624_3286_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
20,012925_3820_w2FITC-C,1.0,02_VN,labeled,train
21,041225_4842_w2FITC-C,1.0,04_VN_P5D2,labeled,test
22,040225_4408_w2FITC-C,2.0,01_FN,labeled,train
23,111124_3521_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
24,110624_3314_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
25,111124_3566_w2FITC-C_1,2.0,old_data,labeled,train
26,040325_4519_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
27,012725_3764_w2FITC-C_1,1.0,01_FN,labeled,train
28,110724_3405_w2FITC-C_1,1.0,old_data,labeled,train
29,110724_3384_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
30,041125_4768_w2FITC-C_1,0.0,06_VN_Cilen100,labeled,test
31,110724_3464_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
32,111124_3563_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
33,040925_4665_w2FITC-C,0.0,02_VN,labeled,train
34,110724_3421_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
35,111124_3519_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
36,041125_4780_w2FITC-C,1.0,06_VN_Cilen100,labeled,test
37,114124_3656_w2FITC-C_2,1.0,old_data,labeled,train
38,012725_3762_w2FITC-C,1.0,01_FN,labeled,train
39,110724_3422_w2FITC-C_1,2.0,old_data,labeled,train
40,040425_4587_w2FITC-C,2.0,03_FN_P5D2,labeled,test
41,114124_3625_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
42,040425_4570_w2FITC-C,0.0,03_FN_P5D2,labeled,test
43,111124_3544_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
44,110724_3372_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
45,041225_4828_w2FITC-C_2,0.0,04_VN_P5D2,labeled,test
46,041125_4792_w2FITC-C,0.0,06_VN_Cilen100,labeled,test
47,110624_3323_w2FITC-C_1,0.0,old_data,labeled,train
48,041225_4840_w2FITC-C_1,2.0,04_VN_P5D2,labeled,test
49,110624_3320_w2FITC-C_2,0.0,old_data,labeled,train
50,040925_4666_w2FITC-C_1,0.0,02_VN,labeled,train
51,040925_4652_w2FITC-C_2,0.0,02_VN,labeled,train
52,114124_3604_w2FITC-C_3,,old_data_unlabeled,unlabeled,train
53,110724_3434_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
54,110624_3301_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
55,012725_3740_w2FITC-C,1.0,01_FN,labeled,train
56,110724_3460_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
57,041125_4781_w2FITC-C,0.0,06_VN_Cilen100,labeled,test
58,114124_3650_w2FITC-C_1,1.0,old_data,labeled,train
59,110724_3381_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
60,012725_3758_w2FITC-C_1,1.0,01_FN,labeled,train
61,110624_3308_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
62,114124_3593_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
63,111124_3552_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
64,114124_3617_w2FITC-C_!,,old_data_unlabeled,unlabeled,train
65,041125_4771_w2FITC-C,1.0,06_VN_Cilen100,labeled,test
66,111124_3522_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
67,111124_3557_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
68,111124_3528_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
69,040925_4651_w2FITC-C,0.0,02_VN,labeled,train
70,110724_3371_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
71,041225_4838_w2FITC-C_2,1.0,04_VN_P5D2,labeled,test
72,040925_4649_w2FITC-C_1,0.0,02_VN,labeled,train
73,040425_4547_w2FITC-C_2,1.0,05_FN_Cilen100,labeled,test
74,040425_4552_w2FITC-C,1.0,05_FN_Cilen100,labeled,test
75,111124_3489_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
76,040225_4413_w2FITC-C,2.0,01_FN,labeled,train
77,040225_4400_w2FITC-C_2,0.0,01_FN,labeled,train
78,040325_4515_w2FITC-C_1,0.0,05_FN_Cilen100,labeled,test
79,040425_4578_w2FITC-C_1,0.0,03_FN_P5D2,labeled,test
80,111124_3479_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
81,110724_3431_w2FITC-C_1,0.0,old_data,labeled,train
82,040425_4588_w2FITC-C,2.0,03_FN_P5D2,labeled,test
83,041125_4769_w2FITC-C_1,0.0,06_VN_Cilen100,labeled,test
84,110624_3357_w2FITC-C_1,1.0,old_data,labeled,train
85,110624_3358_w2FITC-C_1,1.0,old_data,labeled,train
86,111124_3567_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
87,041125_4784_w2FITC-C,0.0,06_VN_Cilen100,labeled,test
88,111124_3568_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
89,110624_3292_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
90,110724_3392_w2FITC-C_1,1.0,old_data,labeled,train
91,114124_3619_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
92,041225_4815_w2FITC-C,1.0,04_VN_P5D2,labeled,test
93,040325_4540_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
94,114124_3599_w2FITC-C_1,1.0,old_data,labeled,train
95,110624_3346_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
96,012925_3821_w2FITC-C_2,1.0,02_VN,labeled,train
97,110724_3383_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
98,111124_3518_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
99,111124_3515_w2FITC-C_1,1.0,old_data,labeled,train
100,110724_3399_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
101,114124_3631_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
102,110624_3313_w2FITC-C_!,,old_data_unlabeled,unlabeled,train
103,110724_3471_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
104,041225_4853_w2FITC-C,2.0,04_VN_P5D2,labeled,test
105,110624_3342_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
106,041125_4805_w2FITC-C_2,1.0,06_VN_Cilen100,labeled,test
107,110724_3382_w2FITC-C_1,1.0,old_data,labeled,train
108,040425_4576_w2FITC-C,0.0,03_FN_P5D2,labeled,test
109,110624_3334_w2FITC-C_1,1.0,old_data,labeled,train
110,110724_3447_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
111,114124_3571_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
112,041125_4775_w2FITC-C_2,1.0,06_VN_Cilen100,labeled,test
113,110624_3300_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
114,111124_3524_w2FITC-C_1,0.0,old_data,labeled,train
115,110624_3349_w2FITC-C_1,0.0,old_data,labeled,train
116,114124_3603_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
117,110624_3271_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
118,114124_3586_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
119,040425_4577_w2FITC-C_2,1.0,03_FN_P5D2,labeled,test
120,110724_3427_w2FITC-C_1,1.0,old_data,labeled,train
121,040225_4411_w2FITC-C,1.0,01_FN,labeled,train
122,040325_4524_w2FITC-C,0.0,05_FN_Cilen100,labeled,test
123,012925_3821_w2FITC-C_1,1.0,02_VN,labeled,train
124,012725_3737_w2FITC-C_1,0.0,01_FN,labeled,train
125,110624_3278_w2FITC-C_1,0.0,old_data,labeled,train
126,110624_3328_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
127,111124_3491_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
128,040925_4663_w2FITC-C,0.0,02_VN,labeled,train
129,041225_4819_w2FITC-C,1.0,04_VN_P5D2,labeled,test
130,110724_3464_w2FITC-C_2,,old_data_unlabeled,unlabeled,train
131,012925_3812_w2FITC-C,0.0,02_VN,labeled,train
132,110624_3317_w2FITC-C_1,,old_data_unlabeled,unlabeled,train
133,111124_3481_w2FITC-C_1,0.0,old_data,labeled,train
