,name,group_pred,group_gnd,sarcomere_length_mean,sarcomere_length_std,sarcomere_area_ratio,z_length_mean,n_zbands,cell_mask_area,sheet,status,split
0,114124_3602_w2FITC-C_1,0.0,,1.3029562034558062,0.2530668280919502,0.0737210196990962,0.5625,8.0,255.6225,old_data_unlabeled,unlabeled,train
1,114124_3661_w2FITC-C_1,0.0,,0.0,0.0,0.0015738774058711,0.3,1.0,682.0425,old_data_unlabeled,unlabeled,train
2,040325_4534_w2FITC-C_2,0.0,0.0,1.4747843667357652,0.2770896816855711,0.0460918182742226,0.5302325581395348,43.0,1735.515,05_FN_Cilen100,labeled,test
3,110624_3355_w2FITC-C_1,0.0,0.0,1.5888771931240728,0.2369842165385457,0.0672765975297423,0.626470588235294,34.0,655.7624999999999,old_data,labeled,train
4,040925_4637_w2FITC-C,0.0,0.0,1.368503349292388,0.1996326894280621,0.0174681877381213,0.5875,12.0,804.8025,02_VN,labeled,train
5,114124_3583_w2FITC-C_1,2.0,,1.4134497607349967,0.2659639251687803,0.3227541065805085,1.9680851063829787,141.0,1352.745,old_data_unlabeled,unlabeled,train
6,040325_4542_w2FITC-C,1.0,1.0,1.482188477294776,0.2261789493243214,0.0914536229499193,0.8792307692307693,65.0,1452.4199999999998,05_FN_Cilen100,labeled,test
7,110624_3328_w2FITC-C_2,1.0,2.0,1.4598140723204878,0.2561060786156364,0.1742202019012328,1.3302631578947368,76.0,1152.18,old_data,labeled,train
8,111124_3495_w2FITC-C_2,1.0,,1.5886470130152002,0.2731633547960556,0.0877612560126941,0.8410714285714286,28.0,484.335,old_data_unlabeled,unlabeled,train
9,040925_4658_w2FITC-C,1.0,1.0,1.5436117512337908,0.2570274053773195,0.1986817855028357,1.6842857142857142,35.0,540.09,02_VN,labeled,train
10,110624_3284_w2FITC-C_2,0.0,0.0,1.8271136978891624,0.4802435542400941,0.0196475445540221,0.975,4.0,367.0875,old_data,labeled,train
11,040425_4549_w2FITC-C,1.0,2.0,1.544601757509938,0.2441322371181409,0.1514023632002049,1.0088235294117645,102.0,1604.4075,05_FN_Cilen100,labeled,test
12,111124_3549_w2FITC-C_1,0.0,,1.5263250445355718,0.2334334873353259,0.0445964467982521,0.8653846153846154,13.0,522.18,old_data_unlabeled,unlabeled,train
13,040225_4390_w2FITC-C_2,0.0,0.0,1.41677779943251,0.0479359582198818,0.0114483682315167,0.625,6.0,584.055,01_FN,labeled,train
14,110624_3343_w2FITC-C_1,0.0,,1.4390289296280034,0.1715093558061998,0.0210294967930236,0.5,6.0,489.5775,old_data_unlabeled,unlabeled,train
15,013125_3835_w2FITC-C_1,0.0,0.0,1.3676020353008835,0.1328304476938351,0.0125743026330973,0.6,6.0,655.4925,02_VN,labeled,train
16,040225_4395_w2FITC-C,0.0,0.0,1.2847521233765435,0.1050312381587233,0.0233664653475649,0.6,6.0,266.8725,01_FN,labeled,train
17,114124_3641_w2FITC-C_1,0.0,0.0,1.4133431352387802,0.1222476211662538,0.012423644038577,0.3,4.0,348.2775,old_data,labeled,train
18,110624_3303_w2FITC-C_2,0.0,,0.0,0.0,0.0036642594936425,0.525,2.0,943.0875,old_data_unlabeled,unlabeled,train
19,110624_3286_w2FITC-C_1,0.0,,1.405440036413238,0.2513569272724096,0.0797743566363252,0.5954545454545455,66.0,1414.7324999999998,old_data_unlabeled,unlabeled,train
20,012925_3820_w2FITC-C,1.0,1.0,1.4618648643253545,0.2113606082370629,0.1917760983311651,1.0954545454545452,33.0,453.645,02_VN,labeled,train
21,041225_4842_w2FITC-C,1.0,1.0,1.580275840426729,0.1525899709342112,0.1020062226472392,1.1637931034482758,29.0,807.4125,04_VN_P5D2,labeled,test
22,040225_4408_w2FITC-C,2.0,2.0,1.340084245268054,0.2891944085344687,0.2832844491983416,1.1959090909090908,110.0,1057.0275,01_FN,labeled,train
23,111124_3521_w2FITC-C_1,0.0,,1.326884097810325,0.2293133083374611,0.0180911365659057,0.6,5.0,797.3325,old_data_unlabeled,unlabeled,train
24,110624_3314_w2FITC-C_2,0.0,,1.3594732786065906,0.3494393289412941,0.0465461542943417,0.6710526315789473,19.0,867.375,old_data_unlabeled,unlabeled,train
25,111124_3566_w2FITC-C_1,2.0,2.0,1.4088248684170364,0.2269304794397715,0.3873377821318468,1.8982758620689653,203.0,1770.255,old_data,labeled,train
26,040325_4519_w2FITC-C,0.0,0.0,1.3890592772949095,0.3164080672033398,0.0095078355773661,0.5318181818181817,11.0,958.7025,05_FN_Cilen100,labeled,test
27,012725_3764_w2FITC-C_1,1.0,1.0,1.608258810689872,0.3052303502315502,0.1419421267709078,0.754225352112676,71.0,1111.365,01_FN,labeled,train
28,110724_3405_w2FITC-C_1,1.0,1.0,1.399590637664712,0.322902255816974,0.0860525535731218,0.8,21.0,633.5775,old_data,labeled,train
29,110724_3384_w2FITC-C_2,1.0,,1.5091678081053566,0.1869697804717671,0.1228053512913825,0.95,72.0,1181.0925,old_data_unlabeled,unlabeled,train
30,041125_4768_w2FITC-C_1,0.0,0.0,0.0,0.0,0.0012636602771732,0.0,0.0,362.835,06_VN_Cilen100,labeled,test
31,110724_3464_w2FITC-C_1,1.0,,1.400686943302182,0.3086177674763789,0.0899415570522041,0.8045454545454545,33.0,622.0799999999999,old_data_unlabeled,unlabeled,train
32,111124_3563_w2FITC-C_1,1.0,,1.5469687465477149,0.2503372111214985,0.1442627444953294,0.80859375,64.0,913.365,old_data_unlabeled,unlabeled,train
33,040925_4665_w2FITC-C,0.0,0.0,1.2027009522529164,0.0916673492132052,0.0095308628049439,0.6,5.0,442.9125,02_VN,labeled,train
34,110724_3421_w2FITC-C_1,2.0,,1.592466519308702,0.2296701739517229,0.3774785356419766,1.4540983606557376,183.0,1569.7125,old_data_unlabeled,unlabeled,train
35,111124_3519_w2FITC-C_2,0.0,,1.395121232714684,0.4622369396552325,0.0107097130323349,0.3642857142857142,7.0,603.495,old_data_unlabeled,unlabeled,train
36,041125_4780_w2FITC-C,1.0,1.0,1.4955419601100344,0.2407556686342803,0.1496512423316957,1.1450495049504947,101.0,1559.025,06_VN_Cilen100,labeled,test
37,114124_3656_w2FITC-C_2,1.0,1.0,1.342114509570283,0.3069251740020883,0.0522811090146045,1.0944444444444446,27.0,775.8675,old_data,labeled,train
38,012725_3762_w2FITC-C,0.0,1.0,1.5124376496686802,0.2781716275951376,0.0326648117149208,0.5307692307692307,13.0,859.2075,01_FN,labeled,train
39,110724_3422_w2FITC-C_1,2.0,2.0,1.486060028944897,0.2089758269018911,0.2429078262817403,1.2408333333333332,180.0,2032.8075,old_data,labeled,train
40,040425_4587_w2FITC-C,2.0,2.0,1.5334865446442385,0.2291950879686258,0.3371210464930375,1.1818604651162792,215.0,1949.7375,03_FN_P5D2,labeled,test
41,114124_3625_w2FITC-C_1,0.0,,1.419557918768756,0.3559194915282168,0.0279375592719381,0.5219999999999999,25.0,1084.2525,old_data_unlabeled,unlabeled,train
42,040425_4570_w2FITC-C,0.0,0.0,1.67787605865818,0.2619303744903259,0.0402636818783517,0.7,15.0,518.625,03_FN_P5D2,labeled,test
43,111124_3544_w2FITC-C_1,0.0,,1.3260402500027455,0.2948794843600976,0.0254044204343325,0.6899999999999998,15.0,1061.235,old_data_unlabeled,unlabeled,train
44,110724_3372_w2FITC-C_1,0.0,,1.7564871825891255,0.0041422119576519,0.0070770197938957,0.4875,4.0,414.0675,old_data_unlabeled,unlabeled,train
45,041225_4828_w2FITC-C_2,0.0,0.0,0.0,0.0,0.0020761308751234,0.0,0.0,251.955,04_VN_P5D2,labeled,test
46,041125_4792_w2FITC-C,0.0,0.0,1.73945985205165,0.3331806912618119,0.0124802306656799,0.3,2.0,624.7574999999999,06_VN_Cilen100,labeled,test
47,110624_3323_w2FITC-C_1,0.0,0.0,2.285742277403864,0.0,0.0044693458446828,0.4499999999999999,2.0,405.1575,old_data,labeled,train
48,041225_4840_w2FITC-C_1,2.0,2.0,1.484866235779451,0.1925057931034466,0.4209143214590987,1.872972972972973,185.0,1520.8875,04_VN_P5D2,labeled,test
49,110624_3320_w2FITC-C_2,0.0,0.0,1.647417403695381,0.0,0.0048682921427639,0.3,1.0,532.9575,old_data,labeled,train
50,040925_4666_w2FITC-C_1,0.0,0.0,1.4428376510210228,0.3658005737971353,0.0689770641523774,0.8363636363636363,33.0,747.6975,02_VN,labeled,train
51,040925_4652_w2FITC-C_2,0.0,0.0,2.969742934979184,0.0,0.0062007884872585,0.0,0.0,549.4275,02_VN,labeled,train
52,114124_3604_w2FITC-C_3,0.0,,1.5268732562988612,0.4740295407577611,0.0248480881823248,0.325,6.0,382.2975,old_data_unlabeled,unlabeled,train
53,110724_3434_w2FITC-C_1,1.0,,1.491030082377475,0.3599063497881843,0.1235692317310979,1.02421875,64.0,985.5225,old_data_unlabeled,unlabeled,train
54,110624_3301_w2FITC-C_1,1.0,,1.4167749195009511,0.2630269356183636,0.095744521882625,1.3392857142857142,42.0,1233.6074999999998,old_data_unlabeled,unlabeled,train
55,012725_3740_w2FITC-C,1.0,1.0,1.430882717128881,0.2436316791802466,0.0926904800175642,1.0304347826086957,23.0,590.22,01_FN,labeled,train
56,110724_3460_w2FITC-C_1,0.0,,1.313192041137553,0.3037206268296626,0.0279942937952823,0.5205882352941176,17.0,783.5174999999999,old_data_unlabeled,unlabeled,train
57,041125_4781_w2FITC-C,0.0,0.0,1.4411850742597572,0.18682380969175,0.0292308172152595,0.6960000000000001,25.0,890.2125,06_VN_Cilen100,labeled,test
58,114124_3650_w2FITC-C_1,1.0,1.0,1.371680054262398,0.2446652793428223,0.1088370657796187,0.7846153846153846,39.0,816.3225,old_data,labeled,train
59,110724_3381_w2FITC-C_2,0.0,,0.0,0.0,0.0029790785301724,0.3,1.0,396.5175,old_data_unlabeled,unlabeled,train
60,012725_3758_w2FITC-C_1,0.0,1.0,1.4694613785085904,0.2116689626538513,0.0452620809850086,0.7369565217391304,23.0,882.9225,01_FN,labeled,train
61,110624_3308_w2FITC-C_1,0.0,,0.0,0.0,0.0014218286904291,0.0,0.0,311.355,old_data_unlabeled,unlabeled,train
62,114124_3593_w2FITC-C_2,0.0,,1.4103710123445272,0.3312930225258609,0.0584266278561034,0.6078947368421052,19.0,420.57,old_data_unlabeled,unlabeled,train
63,111124_3552_w2FITC-C_1,0.0,,1.5192466697343203,0.346407471522285,0.0166256507190982,0.4666666666666665,9.0,649.9575,old_data_unlabeled,unlabeled,train
64,114124_3617_w2FITC-C_!,1.0,,1.4868594351401887,0.2632100865250145,0.132504303855013,0.7745454545454543,55.0,920.3175,old_data_unlabeled,unlabeled,train
65,041125_4771_w2FITC-C,1.0,1.0,1.5716660583259354,0.149106267226657,0.0999860294032621,1.0011627906976743,43.0,959.3775,06_VN_Cilen100,labeled,test
66,111124_3522_w2FITC-C_1,1.0,,1.492146041834566,0.1569923916816607,0.2144211691370321,2.1586956521739125,23.0,472.95,old_data_unlabeled,unlabeled,train
67,111124_3557_w2FITC-C_1,0.0,,1.3330121360507614,0.1129188941819594,0.0231707498898406,0.7071428571428571,7.0,574.74,old_data_unlabeled,unlabeled,train
68,111124_3528_w2FITC-C_1,1.0,,1.4702280188596906,0.2343481698628849,0.1127014570580484,1.0840909090909092,22.0,496.3275,old_data_unlabeled,unlabeled,train
69,040925_4651_w2FITC-C,0.0,0.0,1.435089059133112,0.2758210808260365,0.0823020450694416,0.6699999999999999,45.0,1107.5175,02_VN,labeled,train
70,110724_3371_w2FITC-C_1,0.0,,1.5920571344187222,0.250095385696972,0.0333200538834737,0.85,6.0,357.5025,old_data_unlabeled,unlabeled,train
71,041225_4838_w2FITC-C_2,1.0,1.0,1.419354023268726,0.278342118947096,0.1942279701625093,1.05,43.0,571.2075,04_VN_P5D2,labeled,test
72,040925_4649_w2FITC-C_1,0.0,0.0,1.644476530773206,0.3980091214887349,0.0325108720192916,0.7999999999999999,15.0,845.4825,02_VN,labeled,train
73,040425_4547_w2FITC-C_2,1.0,1.0,1.4953724753326043,0.2267157484433093,0.1691581389372524,0.8655172413793102,87.0,1271.2949999999998,05_FN_Cilen100,labeled,test
74,040425_4552_w2FITC-C,0.0,1.0,1.4830256491368703,0.1720674740577615,0.0483395081929606,0.96,60.0,2801.1375,05_FN_Cilen100,labeled,test
75,111124_3489_w2FITC-C_1,0.0,,1.4069766008847155,0.2936580332066152,0.0594217528155648,0.7852941176470588,34.0,708.6374999999999,old_data_unlabeled,unlabeled,train
76,040225_4413_w2FITC-C,2.0,2.0,1.4589381670798618,0.218228251054212,0.4281859639638571,1.5710227272727273,264.0,2055.87,01_FN,labeled,train
77,040225_4400_w2FITC-C_2,0.0,0.0,1.546804101120243,0.3614248911434947,0.0474598433566868,0.8152173913043477,23.0,797.76,01_FN,labeled,train
78,040325_4515_w2FITC-C_1,0.0,0.0,0.0,0.0,0.0043143267227153,0.3,1.0,599.6474999999999,05_FN_Cilen100,labeled,test
79,040425_4578_w2FITC-C_1,0.0,0.0,1.4759899528966731,0.345263702561672,0.0150438135600784,0.4199999999999999,5.0,525.8249999999999,03_FN_P5D2,labeled,test
80,111124_3479_w2FITC-C_1,0.0,,1.552249446450962,0.1526045879545489,0.0172478407856071,0.4499999999999999,2.0,246.0375,old_data_unlabeled,unlabeled,train
81,110724_3431_w2FITC-C_1,0.0,0.0,1.3169119946602397,0.2396797626306601,0.0716217179332156,0.6300000000000001,30.0,530.0775,old_data,labeled,train
82,040425_4588_w2FITC-C,2.0,2.0,1.4825265828946734,0.262209108232278,0.3268597849650215,1.5027906976744188,215.0,2185.4475,03_FN_P5D2,labeled,test
83,041125_4769_w2FITC-C_1,0.0,0.0,0.0,0.0,0.0023504510641994,0.0,0.0,394.2225,06_VN_Cilen100,labeled,test
84,110624_3357_w2FITC-C_1,1.0,1.0,1.3888351739196891,0.2698481154867547,0.1087480110698224,1.0455223880597015,134.0,2840.895,old_data,labeled,train
85,110624_3358_w2FITC-C_1,0.0,1.0,1.523836358761174,0.1539560522739583,0.0297009588432019,0.5375,12.0,530.865,old_data,labeled,train
86,111124_3567_w2FITC-C_1,1.0,,1.478376652725308,0.2405242087513107,0.1715660707969257,1.3606299212598425,127.0,2233.395,old_data_unlabeled,unlabeled,train
87,041125_4784_w2FITC-C,0.0,0.0,1.3171982596432936,0.2134456176367906,0.0420589545680026,0.6847826086956522,23.0,924.5925,06_VN_Cilen100,labeled,test
88,111124_3568_w2FITC-C_1,1.0,,1.4275111400287417,0.3528367432574095,0.1759998445830314,1.6176136363636362,88.0,1314.3825,old_data_unlabeled,unlabeled,train
89,110624_3292_w2FITC-C_2,0.0,,2.5228756586379197,0.0,0.0033062312826615,0.3,1.0,669.2175,old_data_unlabeled,unlabeled,train
90,110724_3392_w2FITC-C_1,0.0,1.0,1.5868208108184678,0.2150377972518658,0.045352745834274,0.7247191011235955,178.0,7224.974999999999,old_data,labeled,train
91,114124_3619_w2FITC-C_1,0.0,,1.5989724841959276,0.1091696134918188,0.0078833275430524,0.6,3.0,1289.4975,old_data_unlabeled,unlabeled,train
92,041225_4815_w2FITC-C,1.0,1.0,1.5554866576075166,0.2298639519313619,0.1205736900837434,0.7868852459016394,61.0,1132.29,04_VN_P5D2,labeled,test
93,040325_4540_w2FITC-C,1.0,0.0,1.4003335004696789,0.2574275241639618,0.0378012982724052,1.073076923076923,13.0,651.78,05_FN_Cilen100,labeled,test
94,114124_3599_w2FITC-C_1,1.0,1.0,1.2925064738109806,0.1939185376492606,0.1245861784002299,1.7785714285714287,14.0,329.625,old_data,labeled,train
95,110624_3346_w2FITC-C_1,2.0,,1.445678854062393,0.2389056728192367,0.253648117263865,1.0706521739130437,138.0,1266.2775,old_data_unlabeled,unlabeled,train
96,012925_3821_w2FITC-C_2,0.0,1.0,1.732864805388714,0.3209651212357909,0.0403813285461096,0.516,25.0,960.075,02_VN,labeled,train
97,110724_3383_w2FITC-C_1,1.0,,1.5252686553020316,0.1844614001034918,0.1092125906474112,0.8181818181818182,66.0,824.0849999999999,old_data_unlabeled,unlabeled,train
98,111124_3518_w2FITC-C_1,0.0,,1.4513332867144968,0.1734060602717729,0.025622472701813,0.723529411764706,17.0,1191.15,old_data_unlabeled,unlabeled,train
99,111124_3515_w2FITC-C_1,1.0,1.0,1.4566777478761843,0.2119406271445601,0.1143445579942899,1.1322580645161289,31.0,652.41,old_data,labeled,train
100,110724_3399_w2FITC-C_1,2.0,,1.5642507091725435,0.1849859820404112,0.3195203122001955,1.24921875,128.0,1205.2125,old_data_unlabeled,unlabeled,train
101,114124_3631_w2FITC-C_1,2.0,,1.4874741601931232,0.1970424393144977,0.1483559409457557,0.7164556962025316,237.0,3672.09,old_data_unlabeled,unlabeled,train
102,110624_3313_w2FITC-C_!,0.0,,1.3705455597194576,0.3149086679495328,0.037868980368932,0.55625,24.0,740.655,old_data_unlabeled,unlabeled,train
103,110724_3471_w2FITC-C_1,1.0,,1.46907398289713,0.3631886775429384,0.1458623044576356,0.9859756097560972,82.0,1115.2125,old_data_unlabeled,unlabeled,train
104,041225_4853_w2FITC-C,2.0,2.0,1.6225074188670594,0.2082817514713958,0.3156992105673916,1.7191176470588232,102.0,1089.63,04_VN_P5D2,labeled,test
105,110624_3342_w2FITC-C_1,0.0,,0.0,0.0,0.0011498270998128,0.0,0.0,554.5799999999999,old_data_unlabeled,unlabeled,train
106,041125_4805_w2FITC-C_2,1.0,1.0,1.4129893017157866,0.2501660233852036,0.1219400765199082,0.9066666666666666,45.0,927.225,06_VN_Cilen100,labeled,test
107,110724_3382_w2FITC-C_1,1.0,1.0,1.406715835844723,0.2478123888964838,0.0925233312750431,0.6603260869565216,92.0,1561.995,old_data,labeled,train
108,040425_4576_w2FITC-C,0.0,0.0,1.7033228878166482,0.449632918004561,0.0117202612606769,0.5399999999999999,5.0,805.5675,03_FN_P5D2,labeled,test
109,110624_3334_w2FITC-C_1,1.0,1.0,1.3575244550840175,0.1917947547800408,0.1030137374740624,0.8039999999999999,25.0,408.96,old_data,labeled,train
110,110724_3447_w2FITC-C_1,0.0,,1.4845918608738615,0.3605294574326078,0.0400744358655159,0.5294117647058824,17.0,714.6899999999999,old_data_unlabeled,unlabeled,train
111,114124_3571_w2FITC-C_1,1.0,,1.4461800227952235,0.2519140461532097,0.0258207052453006,1.1785714285714286,14.0,1066.9275,old_data_unlabeled,unlabeled,train
112,041125_4775_w2FITC-C_2,2.0,1.0,1.374043893197069,0.2170658634733647,0.3204062083008731,1.3176923076923075,130.0,1138.41,06_VN_Cilen100,labeled,test
113,110624_3300_w2FITC-C_1,2.0,,1.3978755398004403,0.213674124289815,0.3565388701710444,1.338068181818182,176.0,1431.5175,old_data_unlabeled,unlabeled,train
114,111124_3524_w2FITC-C_1,0.0,0.0,0.0,0.0,0.0031225998928333,0.0,0.0,253.5075,old_data,labeled,train
115,110624_3349_w2FITC-C_1,0.0,0.0,1.5318793360918035,0.2068262546847232,0.0166208556670522,0.5142857142857142,14.0,1323.54,old_data,labeled,train
116,114124_3603_w2FITC-C_1,1.0,,1.3075413736200368,0.1398797124696253,0.0303586994897634,1.17,5.0,245.2275,old_data_unlabeled,unlabeled,train
117,110624_3271_w2FITC-C_1,0.0,,0.0,0.0,0.0006253133226874,0.0,0.0,277.9875,old_data_unlabeled,unlabeled,train
118,114124_3586_w2FITC-C_2,0.0,,1.484182895764642,0.1967756718778035,0.083211570265345,0.6815217391304348,46.0,1032.9975,old_data_unlabeled,unlabeled,train
119,040425_4577_w2FITC-C_2,0.0,1.0,1.4916265754802414,0.2303272459254766,0.0331400536783151,0.8,18.0,670.9275,03_FN_P5D2,labeled,test
